Title,Uncategorized_Variables,Uncategorized_Count
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,1. Percentage of single-person households | Percentage; 2. Level of urbanization | Index; 3. Birth | Percentage; 4. Death | Percentage; 5. Nationality | Percentage; 6. Marriage | Percentage; 7. Divorce | Percentage; 8. Childbirth | Percentage; 9. Home Hypothesis | Binary; 10. History Hypothesis | Binary; 11. Recency Hypothesis | Binary; 12. Duration Hypothesis | Percentage; 13. Percentage of Single-Person Households | Percentage; 14. Level of Urbanization | Number; 15. Whether Offender Lives in the Area | Binary; 16. Whether Offender Has Lived in the Area Before | Binary; 17. Duration of Residence | Percentage; 18. 1111/j.  1745-9125.2010.00190.x | Number,18
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,1. Proportion of single-person households | Percentage; 2. Number of employees | Number; 3. Presence of facilities | Number; 4. Facilities | Number; 5. Spatial boundaries | Number; 6. Offender's current or former residence | Binary,6
a_discrete_spatial_choice_model_of_burglary_target.pdf,1. Construction Type | Binary; 2. Central Heating and/or Air-Conditioning System | Binary; 3. Number of Floors | Number; 4. Presence of Rooftop Living Floor | Binary; 5. Date of Belgian Land Registry data | Number; 6. Bootstrapping procedure | Percentage,6
Adolescent offenders' current whereabouts predict locations of their future crimes,1. Educational level | Binary; 2. Educational Qualifications | Percentage; 3. Points of Interest | Number; 4. Catering Businesses | Binary; 5. Retail Businesses | Binary; 6. Schools | Binary; 7. Presence of catering businesses | Binary; 8. Presence of retail businesses | Binary; 9. Presence of schools | Binary; 10. Radius of Gyration | Percentage; 11. Seasonal measurement period | Number; 12. Underreporting of crimes | Percentage; 13. 1371/journal.pone.0210733 | Number,13
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,1. Hukou status | Binary; 2. Proportion of migrants | Percentage; 3. Proportion of youngsters | Percentage; 4. Socioeconomic heterogeneity | Index; 5. Social cohesion | Index; 6. Collective efficacy | Index; 7. GDP | Number; 8. Annual Increase Rate | Percentage; 9. Proportion of Youngsters | Percentage; 10. Malls and supermarkets | Number; 11. Grocers and terminal markets | Number; 12. Bars and clubs | Number; 13. Cybercafés and sports stadiums | Number; 14. High schools | Number; 15. ATMs and banks | Number; 16. Car parks | Number; 17. Surveillance cameras | Number; 18. Crime generators and attractors | Number; 19. Social disorganization | Percentage,19
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",1. Hukou Status | Percentage; 2. Social Cohesion | Number; 3. Collective Efficacy | Number; 4. GDP | Number; 5. Socioeconomic Heterogeneity | Index; 6. Amount of Lost Property or Money | Number; 7. High schools | Number; 8. Shopping malls | Number; 9. Transportation hubs | Number; 10. Bars and clubs | Number; 11. Cybercafés | Number; 12. Grocery stores | Number; 13. Hotels | Number; 14. Restaurants | Number; 15. ATMs | Number; 16. Banks | Number; 17. Subway stations | Number; 18. Bus stations | Number; 19. Surveillance cameras | Number; 20. Daily human mobility | Number; 21. Transportation Hubs | Binary; 22. Subway Stations | Binary; 23. Bus Stations | Binary; 24. Bars and Clubs | Binary; 25. Cybercafés | Binary; 26. Malls and Supermarkets | Binary; 27. High Schools | Binary; 28. Surveillance Cameras | Binary; 29. Daily Human Mobility | Number; 30. Socioeconomic Heterogeneity | Number,30
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,"1. Collective efficacy | Index; 2. Proportion of single-person households | Percentage; 3. Number_of_Employees | Number; 4. Number of bars/restaurants/hotels | Rate; 5. Postal Code Areas | Number; 6. Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number; 7. Number of employees | Number; 8. Neighbourhood disorder | Index",8
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","1. Proportion of Single-Person Households | Percentage; 2. Proportion of single-person households | Percentage; 3. Number of retail stores | Number; 4. Number of hotels, restaurants, and bars | Number; 5. Number of people working | Number; 6. Retail stores | Number; 7. Hotels, restaurants, and bars | Number; 8. Schools | Number; 9. Culture | Number; 10. Health care | Number; 11. Sports and leisure facilities | Number; 12. Recency Variables | Binary",12
Burglar Target Selection: Australia Study (Brisbane),1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,9
Burglar Target Selection: Netherlands Study (The Hague),1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,9
Burglar Target Selection: United Kingdom Study (Birmingham),1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,9
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,1. Social barriers based on Hukou status | Binary; 2. Limited social network overlap | Number; 3. Number of households in a community | Number; 4. Proportion of houses built after 2000 | Percentage; 5. Number of households | Number; 6. Proportion of high-rise buildings | Percentage; 7. Natural log of the number of households | Number; 8. Affluence Measures | Percentage; 9. Affluence Measures | Number; 10. Household Count | Number,10
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,"1. Number of single-person households | Number; 2. Number of retail stores | Number; 3. Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number; 4. Retail stores | Number; 5. Hotels | Number; 6. Restaurants | Number; 7. Bars | Number; 8. Schools | Number; 9. Cultural facilities | Number; 10. Health care institutions | Number; 11. Sport and leisure facilities | Number; 12. Home Location | Percentage; 13. Area Characteristics | Number; 14. Shared Awareness Space | Percentage",14
Co-offending and the Choice of Target Areas in Burglary,1. Number of Properties | Percentage; 2. Percentage of Owner-Occupied Properties | Percentage; 3. [Architectural_Features | Percentage; 4. [Public_Facilities | Percentage; 5. [Residential_Units | Number; 6. [Physical_Accessibility | Percentage; 7. Number of properties in a neighbourhood | Number,7
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,1. Proportion of non-locals | Percentage; 2. Hukou status | Percentage; 3. Primary schools | Number; 4. Middle schools | Number; 5. Hospitals | Number; 6. Basic stores | Number; 7. Markets | Number; 8. Supermarkets | Number; 9. Restaurants | Number; 10. Cinemas | Number; 11. Bars | Number; 12. Banks | Number; 13. Subway stations | Number; 14. Bus stops | Number; 15. Relative Mobility | Percentage; 16. Exclusion of February | Number; 17. Selection of weekdays | Number; 18. Clearance rate of theft from the person | Percentage; 19. Geographical location of study area | Number; 20. Exclusion of census units due to limited mobility data | Number,20
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,1. Proportion of buildings built after 2000 | Percentage; 2. Low educational attainment | Percentage; 3. Newer Buildings | Binary; 4. Parks | Binary; 5. Entertainment Venues | Number; 6. Newer buildings | Number; 7. Subway stations | Number; 8. Bus stops | Number; 9. Parks | Number; 10. Entertainment venues | Number,10
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",1. Proportion of migrants | Percentage; 2. Proportion of young adults | Percentage; 3. Social cohesion | Number; 4. Cybercafés | Number; 5. Schools | Number; 6. Wholesale markets | Number; 7. Bars and clubs | Number; 8. Routine activity nodes | Number; 9. Bus Stops | Number; 10. Subway Stations | Number; 11. Bus stops | Number; 12. Subway stations | Number; 13. Malls and supermarkets | Number; 14. Car parks | Number,14
Do Migrant and Native Robbers Target Different Places?,1. Education level | Binary; 2. Proportion of migrants | Percentage; 3. Proportion of youngsters | Percentage; 4. Socioeconomic heterogeneity | Index; 5. Daily human mobility | Index; 6. Migration status | Percentage; 7. Wholesale markets | Number; 8. Labor-intensive industrial cluster | Number; 9. Old urban areas and urban villages | Number; 10. Sports stadiums | Number; 11. Malls and supermarkets | Number; 12. Grocers | Number; 13. Bars and clubs | Number; 14. High schools | Number; 15. ATMs and banks | Number; 16. Carparks | Number; 17. Bus stops | Number; 18. Arrest data | Number; 19. POI data | Number; 20. Traffic road network vector map data | Number; 21. Bus stop data | Number; 22. Mobile phone data | Number; 23. Crime prevention | Percentage,23
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"1. Presence of High Schools | Binary; 2. Presence of legal cash economies | Binary; 3. Presence of illegal cash economies | Binary; 4. Presence of legal cash economies | Number; 5. Presence of illegal cash economies | Number; 6. High schools | Number; 7. Bars and clubs | Number; 8. Restaurants, fast-food outlets, and food stands | Number; 9. Barber shops and beauty salons | Number; 10. Liquor stores | Number; 11. Grocery stores | Number; 12. General merchandise shops | Number; 13. Gas stations | Number; 14. Laundromats | Number; 15. Pawnshops, currency exchange, and check-cashing services | Number; 16. Random Sampling | Number",16
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",1. Percentage of owner-occupied dwellings | Percentage; 2. Home ownership | Percentage; 3. Public facilities in the central business district | Percentage; 4. Likelihood of successful completion | Number; 5. Social cohesion and collective efficacy | Number; 6. Mobility of burglars | Number; 7. SWEBER (spatially weighted burglar exposition rate) | Rate; 8. Home Ownership | Percentage; 9. Moran's I Statistic | Number,9
Effects of residential history on commercial robbers' crime location choices,1. Postal code area characteristics | Number; 2. Duration of residence | Percentage,2
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,1. Number of premises per SA2 | Number; 2. Number of business units in commercial or public industries | Number; 3. Number of households | Number; 4. Number of business units in any industry | Number; 5. Number of business units in commercial industries | Number; 6. Opportunity Variables | Number,6
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,"1. Proportion of single-person households | Percentage; 2. Urban nature of the study area | Number; 3. Proportion of Single-Person Households | Percentage; 4. Number of Retail Stores | Number; 5. Number of Hotels Restaurants Bars | Number; 6. Number of Schools | Number; 7. Number of Culture, Health-Care, and Sports/Leisure Facilities | Number; 8. Number of People Working | Number; 9. Retail stores | Number; 10. Bars/nightlife | Number; 11. Schools | Number; 12. Culture, health-care, and sports/leisure facilities | Number; 13. Guardianship | Index; 14. Single-Person Households | Percentage; 15. Non-Western Background | Percentage; 16. Retail Stores | Number; 17. Hotels Restaurants Bars | Number; 18. Culture, Health-Care, and Sports/Leisure Facilities | Number; 19. People Working | Number",19
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,1. Indigenous Status | Binary; 2. Connectors - Train Network | Binary; 3. W ij | Binary; 4. F ij | Binary; 5. T ij | Binary; 6. A i/J i | Binary; 7. pdf | Number; 8. 7% of identified cases were included in the final dataset | Percentage,8
Go where the money is: modeling street robbers' location choices,1. Presence of legal cash economies | Number; 2. Presence of illegal cash economies | Number; 3. Presence of high schools | Number; 4. Presence of El stations | Binary; 5. Social Barriers | Number; 6. Spatial Lags | Number; 7. pdf | Number,7
Graffiti Writers Choose Locations That Optimize Exposure,1. Presence of Schools | Number; 2. Bars | Number; 3. Night Shops | Number; 4. Nightclubs | Number; 5. Restaurants | Number; 6. Schools | Number; 7. Trees | Number; 8. Broken Windows | Number; 9. Street Segment Type | Binary; 10. Street Segments | Number; 11. Trams and Buses | Number; 12. Type of Street Segment | Binary; 13. Presence of Bars | Binary; 14. Presence of Night Shops | Binary; 15. Presence of Nightclubs | Binary; 16. Presence of Restaurants | Binary; 17. Presence of Schools | Binary; 18. Presence of Trees | Binary,18
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,1. Percentage of single-family dwellings | Percentage,1
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,1. Percent migrants | Percentage; 2. Number of people on the street | Number; 3. Fences | Percentage; 4. Walls | Percentage; 5. Windows | Percentage; 6. Grass | Percentage; 7. Sidewalks | Percentage; 8. Plants | Percentage; 9. Commercial interfaces | Percentage; 10. Shops facing the street | Number; 11. Buildings along the street | Number; 12. Streetlights | Number; 13. Surveillance cameras | Number; 14. Trees | Number; 15. Lawns | Number; 16. ATMs | Number; 17. Banks | Number; 18. Subway stations | Number; 19. Bus stops | Number; 20. Schools | Number; 21. Hospitals | Number; 22. Crime attractors | Number; 23. Crime generators | Rate; 24. Crime detractors | Number,24
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,"1. Total Number of Households | Number; 2. Average House Price | Number; 3. Connectors (e.g., transit lines) | Number; 4. Barriers (e.g., wide rivers) | Number; 5. Street permeability | Number; 6. Higher altitude | Number; 7. Train stations | Number; 8. Total number of households | Number; 9. Average house price | Number; 10. Presence of Train Stations | Binary; 11. Presence of Bus Stations | Binary",11
Location Choice of Snatching Offenders in Chennai City,"1. Retail businesses | Percentage; 2. Religious facilities (temples, churches, mosques) | Percentage; 3. Educational institutions (schools, colleges) | Percentage; 4. Marriage halls | Percentage; 5. Jewelry shops | Number; 6. Personal care facilities (barbershops, beauty parlors) | Number; 7. Restaurants | Number; 8. Medical facilities (hospitals, medical services) | Number; 9. Ward Area | Percentage; 10. 6 million | Number",10
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,1. Average Value of Properties | Number; 2. Spatial Competition | Percentage; 3. Spatial Competition Variable | Number; 4. Spatial competition variable | Number,4
Modelling taste heterogeneity regarding offence location choices,1. Affluence | Number; 2. Number of potential targets | Number,2
