term,category,color
"1. Home in SA2
2. Home at 0-200 m
3. Home at 200-500 m
4. Home at 500 m-1 km
5. Home at 1-2 km
6. Home at 2-5 km
7. Family homes in SA2
8. Family homes at 0-200 m
9. Family homes at 200-500 m
10. Family homes at 500 m-1 km
11. Family homes at 1-2 km
12. Family homes at 2-5 km
13. School in SA2
14. School at 0-200 m
15. School at 200-500 m
16. School at 500 m-1 km
17. School at 1-2 km
18. School at 2-5 km
19. Work in SA2
20. Work at 0-200 m
21. Work at 200-500 m
22. Work at 500 m-1 km
23. Work at 1-2 km
24. Work at 2-5 km
25. Prior offences in SA2
26. Prior offences at 0-200 m
27. Prior offences at 200-500 m
28. Prior offences at 500 m-1 km
29. Prior offences at 1-2 km
30. Prior offences at 2-5 km
31. Prior victim/witness in SA2
32. Prior victim/witness at 0-200 m
33. Prior victim/witness at 200-500 m
34. Prior victim/witness at 500 m-1 km
35. Prior victim/witness at 1-2 km
36. Prior victim/witness at 2-5 km
37. Prior incidents in SA2
38. Prior incidents at 0-200 m
39. Prior incidents at 200-500 m
40. Prior incidents at 500 m-1 km
41. Prior incidents at 1-2 km
42. Prior incidents at 2-5 km
43. Other location in SA2
44. Other location at 0-200 m
45. Other location at 200-500 m
46. Other location at 500 m-1 km
47. Other location at 1-2 km
48. Other location at 2-5 km
49. Number of dwellings (residential burglary)
50. Total number of business units (non-residential burglary)
51. Number of business units in industry categories (commercial robbery)
52. Number of business units in commercial or public industries (personal robbery)
53. Number of business units in commercial or public industries (sex offences)",statistical,plum
"Distance from residence: Odds decrease by a factor of 0.6 for every kilometer.
- Presence of schools: Odds increase by a factor of 1.29 to 2.09 for each additional school.
- Presence of a tube station: Odds more than double if an area contains a tube station.
- Retail establishments: Odds increase by a factor of 1.28 for every additional 250 m^2 of retail space.
- Proximity to the Thames River: Odds are up to five times higher if the area is on the same side of the river as the offender's residence.
- Deprivation: Odds increase by a factor of 1.27 to 1.63 for every 10-unit increase in deprivation.
- Population churn: Odds increase by a factor of 1.20 for every 10-unit increase in churn rate.
- Ethnic diversity: Odds increase by a factor of 1.19 for every 10-unit increase in ethnic heterogeneity on one of the days.
- Recent activity: Odds increase by a factor of 1.14 for every additional incident in the previous 24 hours.",statistical,plum
"1. Previous crime location on same weekday
2. Previous crime location on different weekday
3. Previous crime location on same weekend day
4. Previous crime location on different weekend day
5. Previous crime location on different week part
6. Previous crime location with a zero-hour difference
7. Previous crime location with a one-to two-hour difference
8. Previous crime location with a three-to five-hour difference
9. Previous crime location with a greater than six-hour difference
10. Previous crime of the same type
11. Previous crime of a different type
12. Offender's current or former residence
13. Distance from current residential area to target area alternatives
14. Proportion of residents with a non-Western background
15. Proportion of single-person households
16. Population density
17. Number of employees
18. Presence of facilities in each postal code",statistical,plum
"1. Presence of bars and clubs
2. Presence of restaurants and fast-food outlets
3. Presence of barber shops and beauty salons
4. Presence of liquor stores
5. Presence of grocery stores
6. Presence of general merchandise stores
7. Presence of gas stations
8. Presence of laundromats
9. Presence of pawnshops and cash services
10. Presence of drug-related incidents
11. Presence of prostitution-related incidents
12. Presence of gambling-related incidents
13. Block located on a main street
14. Presence of an El station
15. Presence of private and public high schools
16. Total number of residents in the census block
17. Racial and ethnic composition of the population
18. Dummy variable for racial/ethnic match between offender and block population
19. Euclidean distance from offender's home to crime location
20. Negative value of the log of distance",statistical,plum
"1. Time spent in location (5-16 hours)
2. Time spent in a location 1st order contiguous to location
3. Time spent in a location 2nd order contiguous to location
4. Time spent in a location 3rd order contiguous to location
5. Time spent in a location 4th order contiguous to location
6. Time spent in a location 5th order contiguous to location
7. Prior crime in location
8. Prior crime in a location 1st order contiguous to location
9. Prior crime in a location 2nd order contiguous to location
10. Prior crime in a location 3rd order contiguous to location
11. Prior crime in a location 4th order contiguous to location
12. Prior crime in a location 5th order contiguous to location
13. Presence of at least one catering business in location
14. Presence of at least one retail business in location
15. Presence of at least one school in location",statistical,plum
"1. Previously_chosen
2. Distance_to_prior_offense
3. Previously_chosen_within_2_days
4. Previously_chosen_within_3_to_7_days
5. Previously_chosen_within_8_to_30_days
6. Previously_chosen_within_31_to_183_days
7. Previously_chosen_within_184_to_730_days
8. Previously_chosen_within_731_to_1096_days
9. Number_of_prior_offenses
10. Same_type_of_crime
11. Different_type_of_crime
12. Current_residence_short_term
13. Current_residence_long_term
14. Former_residence_short_term
15. Former_residence_long_term
16. Distance_to_current_residence
17. Population_density
18. Proportion_of_single_person_households
19. Proportion_of_non_Western_residents
20. Number_of_retail_stores
21. Number_of_hotels_restaurants_and_bars
22. Number_of_schools
23. Number_of_culture_health_care_and_sports_facilities
24. Number_of_people_working",statistical,plum
"Residential density: Odds ratio = 0.9 (10% decrease for every additional 1000 residences per square kilometer)
- Prior burglary activity: Odds ratio = 19 (19 times more likely to target a residence in a previously burglarized neighborhood)
- Detached residences: Odds ratio = 1.35 (35% greater likelihood compared to terraced residences)
- Single-unit buildings: Odds ratio = 1.42 (42% higher likelihood compared to multi-unit buildings)
- Renter-occupied residences: Odds ratio = 2.01 (101% greater likelihood compared to owner-occupied residences)
- Distance from offender's home: Odds ratio = 0.45 (55% decrease for every kilometer further away)
- Interaction effects:
  - Distance and neighborhood median income: Odds ratio ranges from 0.37 to 0.64 and from 0.92 to 1.27",statistical,plum
"Odds ratio for targeting an LSOA previously burgled within the past two days: 16.6
- Odds ratio for targeting an LSOA previously burgled 3-6 days ago: 5.8
- Odds ratio for targeting an LSOA previously burgled 7-30 days ago: 4.3
- Odds ratio for targeting an LSOA previously burgled 1-6 months ago: 2.2
- Odds ratio for targeting an LSOA previously burgled 6-24 months ago: 2.0
- Odds ratio for targeting an LSOA in the same MSOA where a prior burglary occurred within the past two days: 3.6
- Odds ratio for targeting an LSOA in the same MSOA where a prior burglary occurred 3-6 days ago: 2.3
- Odds ratio for distance from the burglar's home: 0.58 (decrease by 42% per kilometer)
- Odds ratio for distance from the city center: 1.10 (increase by 10% per kilometer)",statistical,plum
"1. Current residential area of any family member
2. Former residential area of any family member
3. Current residential area of parents
4. Former residential area of parents
5. Current residential area of siblings
6. Former residential area of siblings
7. Current residential area of children
8. Former residential area of children
9. Previous crime location
10. Current residential area of offender
11. Former residential area of offender
12. Distance to current residential area of offender
13. Population density
14. Proportion of single-person households
15. Proportion of residents with a non-Western background
16. Number of retail stores
17. Number of hotels restaurants bars
18. Number of schools
19. Number of culture",statistical,plum
"Distance from offender's residence: Odds ratio = 0.70 (30% decrease per 1 km increase)
- Number of residential units: Odds ratio = 1.05 (5% increase per 100-unit increase)
- Proportion of single-family dwellings: Odds ratio = 1.06 (6% increase per 10% increase)
- Number of past residential burglaries: Odds ratio = 1.16 (16% increase per additional burglary)
- Past residential burglary rate: Odds ratio = 1.79 (79% increase per 1 per 100 residential units increase)
- Standard partial regression coefficients:
  - Distance from offender's residence: -2.02
  - Number of past residential burglaries: 0.23
  - Number of residential units: 0.22
  - Proportion of single-family dwellings: 0.20",statistical,plum
